,conversation
3709,Er.... um.....
3710,What?
3711,Um... uh.... vulva.
3712,"Chandler and Joey's, Joey and Ross are there, discussing what happened last night.]"
3713,Vulva?
3714,"Alright, I panicked, alright? She took me by surprise. You know, but it wasn't a total loss. I mean, we ended up cuddling."
3715,Whoaa!! You cuddled? How many times??
3716,"Shut up! It was nice. I just... I don't think I'm the dirty-talking kind of guy, you know?"
3717,What's the big deal? You just say what you want to do to her. Or what you want her to do to you. Or what you think other people might be doing to each other. I'll tell you what. Just try something on me.
3718,Please be kidding.
3719,"Why not? Come on! Just, just close your eyes and tell me what you'd like to be doing right now."
3720,OK.  I'm in my apartment...
3721,....yeah... what else?
3722,"That's it. I'm in my apartment, you're not there, we're not having this conversation."
3723,"Alright, look, I'll start, OK?"
3724,"Joey, please."
3725,"Come on. Come on. Alright, ready, look!  Oh... Ross.... you get me so hot. I want your lips on me now."
3726,Wow.
3727,"Alright, now you say something."
3728,I... ahem... I really don't think so.
3729,"Come on! You like this woman, right?"
3730,Yeah.
3731,"You want to see her again, right?"
3732,Sure.
3733,"Well if you can't talk dirty to me, how're you going to talk dirty to her? Now tell me you want to caress my butt!"
3734,"OK, turn around.  I just don't want you staring at me when I'm doing this."
3735,"Alright, alright. I'm around. Go ahead."
3736,"Ahem... I want.... OK, I want to... feel your... hot, soft skin with my lips."
3737,There you go! Keep going. Keep going!
3738,"I, er..."
3739,I want to take my tongue... and...
3740,....and....
3741,Say it... say it!
3742,...run it all over your body until you're... trembling with... with...
3743,....with??
3744,Funny story!
3745,You're not going to believe this!
3746,It's OK. It's OK. I was always rooting for you two kids to get together.
3747,"Hey Chandler, while you were sleeping that guy from your old job called again."
3748,Again?
3749,"And again, and again, and again...  Hello?  And again."
3750,"Hey Mr. Kostelic! How's life on the fifteenth floor?  Yeah, I miss you too.  Yeah, it's a lot less satisfying to steal pens from your own home, you know?  Well, that's very generous  er, but look, this isn't about the money. I need something that's more than a job. I need something I can really care about....  And that's on top of the yearly bonus structure you mentioned earlier?  Look, Al, Al... I'm not playing hardball here, OK? This is not a negotiation, this is a rejection!  No! No! No, stop saying numbers! I'm telling you, you've got the wrong guy! You've got the wrong guy!  I'll see you on Monday!"
3751,"Chandler's new window office, he is showing Phoebe around.]"
3752,Well?
3753,"Wow! It's huge! It's so much bigger than the cubicle. Oh, this is a cube."
3754,Look at this!
3755,Oh! You have a window!
3756,Yes indeedy!  With a beautiful view of...
3757,Oh look! That guy's peeing!
3758,"OK, that's enough of the view. Check this out, look at this. Sit down, sit down."
3759,OK.
3760,"This is great!  Helen, could you come in here for a moment?"
3761,"Thank you Helen, that'll be all."
3762,"Last time I do that, I promise."
3763,"Monica and Rachel's, Monica is on the phone. Rachel walks in and overhears the conversation.]"
3764,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!"
3765,Who was that?
3766,Wendy bailed. I have no waitress.
3767,Oh... that's too bad. Bye bye.
3768,Ten dollars an hour.
3769,No.
3770,Twelve dollars an hour.
3771,"Mon. I wish I could, but I've made plans to walk around."
3772,"You know, Rachel, when you ran out of your wedding, I was there for you. I put a roof over your head, and if that means nothing to you...  twenty dollars an hour."
3773,Done.
3774,"Monica and Rachel's, later. Rachel is waitressing, Monica is cooking. Phoebe walks in with Steve .]"
3775,Well hello! Welcome to Monica's. May I take your coat?
3776,Hi Steve!
3777,"Hello, Monica.  Hello, greeter girl."
3778,This is Rachel.
3779,"Yeah, OK."
3780,"Mmmmmm! Everything smells so delicious! You know, I can't remember a time I smelt such a delicious combination of  of, OK, smells."
3781,It's a lovely apartment.
3782,"Oh, thank you. Would you like a tour?"
3783,"I was just being polite, but, alright."
3784,What's up?
3785,"In the cab, on the way over, Steve blazed up a doobie."
3786,What?
3787,"Smoked a joint? You know, lit a bone? Weed? Hemp? Ganja?"
3788,"OK, OK. I'm with you, Cheech. OK."
3789,Is it dry in here?
3790,"Let me, let me get you some wine!"
3791,"Yeah, I think we're ready for our first course.  OK, um, these are rot-shrimp ravioli, and celantro pondou sauce... ... with just a touch of mints... and... ... ginger."
3792,"Well, smack my ass and call me Judy! These are fantastic!"
3793,I'm so glad you liked them!
3794,Like 'em? I could eat a hundred of them!
3795,"Oh, well... um, that's all there are of these. But in about eight and a half minutes, we'll be serving some delicious onion tartlets."
3796,Tartlets. Tartlets. Tartlets. The word has lost all meaning.
3797,Excuse me? Can I help you with anything?
3798,"You know, I don't know what I'm looking for."
3799,"Ah, cool! Taco shells!  You know, these are... they're like a little corn envelope."
3800,You know that? You don't want to spoil your appetite.
3801,Hey! Sugar-O's!
3802,"You know, if you just wait another... six and a half minutes..."
3803,Macaroni and cheese! We gotta make this!
3804,"No, we don't."
3805,"Oh, OK.  Oh, sorry."
3806,Why don't you just have a seat here?  OK... give me the Gummi-bears.
3807,No.
3808,Give them to me.
3809,"Alright, we'll share."
3810,"No, give me the..."
3811,"Well then you can't have any.  Bear overboard! I think he's drowning.  Hey fellows! Grab on a Sugar-O... save yourself!  ""Help!  I'm drowning!   Help!"""
3812,That's it! Dinner is over!
3813,What?
3814,What?
3815,Why?
3816,"Why? It's just that I've waited seven years for an opportunity like this, and you can't even wait four and a half minutes for a stupid onion tartlet?"
3817,Hey!
3818,"Central Perk, all are there except Chandler.]"
3819,What a tool!
3820,You don't want to work for a guy like that.
3821,Yeah!
3822,"I know... it's just... I thought this was, you know... it."
3823,"Look, you'll get there. You're an amazing chef."
3824,Yeah! You know all those yummy noises? I wasn't faking.
3825,"So, er... how did it go with Celia?"
3826,"Oh, I was unbelievable."
3827,"All right, Ross!"
3828,"I was the James Michener of dirty talk. It was the most elaborate filth you have ever heard. I mean, there were characters, plot lines, themes, a motif... at one point there were villagers."
3829,Whoa! And the...  huh-huh?
3830,"Well, ahem... you know, by the time we'd finished with all the dirty talk, it was kinda late... and we were both kind of exhausted, so uh..."
3831,You cuddled.
3832,"Yeah, which was nice."
3833,You guys wanna try and catch a late movie or something?
3834,"Maybe, but shouldn't we wait for Chandler?"
3835,"Yeah, where the hell is he?"
3836,"Chandler's office, he's on the phone, agitated.]"
3837,"Yes, Fran. I know what time it is, but I'm looking at the WENUS and I'm not happy!...  Oh, really, really, really? Well, let me tell you something... you will care about it, because I care about it! You got it? Good!  Whooooaaaa...."
3838,"Phoebe's massage parlour, she has Steve on the table, and is giving him an extra-painful massage.]"
3839,How's this?
3840,Eeeee!
3841,Sorry. How about over here?
3842,Aaaaah!
3843,"See, that just means it's working. Does this hurt?"
3844,No.
3845,What about this?
3846,Marta Kauffman & David Crane Transcribed by: Mindy Mattingly With Minot Adjustments by: Tennant Stuart
3847,"Rifts Restaurant, as seen in Mad About You, Joey and Chandler are there.]"
3848,"This is unbelievable. Its been like a half an hour. If this was a cartoon, youd be looking like a ham right about now."
3849,"Theres the waitress. Excuse me, Miss. Hello, Miss?"
3850,Its Phoebe! Hi!
3851,"Hi. Okay, will that be all?"
3852,"Wait, wait! Wh-what are you doing here?"
3853,"Yeah, um, I was over there, then you said, ""Excuse me, hello Miss,"" so now Im here."
3854,"No, no... how come you are working here?"
3855,"Right, yeah, cause its close to where I live, and the aprons are really cute."
3856,Can we start over?
3857,Yeah. Okay great. Im gonna be over here.
3858,"No, no, no!"
3859,"A wintry February day in New York City, snowplows are clearing the streets. Inside Central Perk, all three girls are paying court to Ross.]"
3860,"I dont know whether hes testing me, or just acting out, but my monkey is out of control. But, he keeps erasing the messages on my machine, ""supposedly"" by accident."
3861,"No, yeah, Ive done that."
3862,"And then, like three days in a row he got to the newspaper before I did, and peed all over the crossword."
3863,Ive never done that.
3864,"All right, now look at her and tell me she doesnt look exactly like her sister."
3865,Im sayin I see a difference.
3866,Theyre twins!
3867,I dont care. Phoebes Phoebe. Ursulas... hot!
3868,"You know that thing, when you and I talk to each other about things?"
3869,Yeah.
3870,Lets not do that any more.
3871,Hey guys! Hey!
3872,"Hey Pheebs, guess who we saw today."
3873,"Ooh, ooh, fun! Okay... um, Liam Neeson."
3874,Nope.
3875,Morly Safer.
3876,Nope.
3877,The woman who cuts my hair!
3878,"Okay, look, this could be a really long game."
3879,Your sister Ursula.
3880,"Oh, really."
3881,"Yeah, yeah, she works over at that place, uh..."
3882,"Rifts. Yeah, I know."
3883,"Oh, you do? Because she said you guys havent talked in like years."
3884,"Hmmm? Yeah. So, um, is she fat?"
3885,Not from where I was standin.
3886,where were you standing?
3887,"Um, Pheebs, so, you guys just dont get along?"
3888,"Its mostly just dumb sister stuff, you know, I mean, like, everyone always thought of her as the pretty one, you know... Oh, oh, she was the first one to start walking, even though I did it... later that same day. But, to my parents, by then it was like ""yeah, right, well what else is new?"""
3889,"Oh, Pheebs, Im sorry, Ive got to go. Ive got Lamaze class."
3890,"Oh, and Ive got Earth Science, but I'll catch you in Gym."
3891,"So, is this just gonna be you and Carol?"
3892,"No, Susans gonna be there too. Weve got dads, weve got lesbians, the whole parenting team."
3893,"Well, isnt, isnt that gonna be weird?"
3894,"No, no.  I mean, it mighta been at first, but by now I, I think Im pretty comfortable with the whole situation."
3895,"Ross, thats my jacket."
3896,I know.
3897,"The Lamaze class, several couples and one trio sit on the floor, introducing themselves to the teacher, whos got as far as a woman sitting next to Ross, Carol, and Susan.]"
3898,"Hi, were the Rostins. Err, Im J.C., and hes Michael, and were having a boy, and a girl."
3899,"Good for you. Alrighty, next?"
3900,"Hi, um, Im err,  Im Ross Geller, and err ah...  ..thats, thats my boy in there, and uh,  this is Carol Willick, and this... is Susan Bunch. Susan is um Carols, just, com...  ..whos next?"
3901,"Im sorry, I didnt get... Susan is?"
3902,"Susan is Carols, Carols, Carols, friend..."
3903,Life partner.
3904,Like buddies.
3905,Like lovers.
3906,You know how close women can get.
3907,Susan and I live together.
3908,Although I was married to her.
3909,"Carol, not me."
3910,"Err, right."
3911,Its a little complicated.
